model,set,protocol,n,ci_low,ci_high,params_m,finetuned,ndcg@10,recall@5,recall@10,mrr@10,ndcg@10_seen,recall@10_seen,ndcg@10_unseen_articles,recall@10_unseen_articles,ndcg@10_unseen_codes,recall@10_unseen_codes
ft-e5-small,external,article,25,0.7246,0.9300,117.7000,True,0.8347,0.8800,0.9600,0.7933,,,,,,
ft-e5-small,dev,chunk,296,0.8171,0.8843,117.7000,True,0.8513,0.9054,0.9358,0.8238,0.8611,0.9369,0.8218,0.9324,,
ft-e5-small,dev,article,296,0.7933,0.8606,117.7000,True,0.8275,0.8953,0.9392,0.7914,0.8446,0.9459,0.7762,0.9189,,
ft-e5-base,test,chunk,728,0.8264,0.8661,278.0000,True,0.8465,0.9313,0.9533,0.8112,0.8435,0.9556,0.8581,0.9450,0.8390,0.9585
ft-e5-base,test,article,728,0.7817,0.8268,278.0000,True,0.8046,0.8764,0.9272,0.7653,0.8130,0.9454,0.8131,0.9266,0.7849,0.9032
ft-e5-base,golden,chunk,174,0.8440,0.9127,278.0000,True,0.8795,0.9291,0.9741,0.8632,0.8886,0.9741,0.8524,0.9483,0.8973,1.0000
ft-e5-base,golden,article,174,0.7748,0.8542,278.0000,True,0.8154,0.8764,0.9617,0.7879,0.8242,0.9741,0.7879,0.9368,0.8341,0.9741
ft-e5-base,external,chunk,25,0.8671,0.9705,278.0000,True,0.9262,1.0000,1.0000,0.9000,,,,,,
ft-e5-base,external,article,25,0.6591,0.8862,278.0000,True,0.7791,0.9200,0.9200,0.7300,,,,,,
ft-e5-base,dev,chunk,296,0.8153,0.8796,278.0000,True,0.8486,0.9088,0.9527,0.8151,0.8519,0.9550,0.8384,0.9459,,
ft-e5-base,dev,article,296,0.7841,0.8535,278.0000,True,0.8194,0.8919,0.9392,0.7806,0.8239,0.9369,0.8061,0.9459,,
